KEY,TYPE,REQUIRED,NOTES,ENVIRONMENTS
SUPABASE_URL,url,required,Project URL,local/staging/prod
SUPABASE_ANON_KEY,string,required,Client key (public),local/staging/prod
SUPABASE_SERVICE_ROLE_KEY,string,required (server),"Server only, protect",staging/prod
SUPABASE_JWT_SECRET,string,required,Must match Supabase Auth,staging/prod
DATABASE_URL,url,required,Postgres pooler URL,local/staging/prod
REDIS_URL,url,required,Redis for sessions/lockout/blacklist,local/staging/prod
JWT_SECRET,string(>=24),required,App-issued tokens,local/staging/prod
ENCRYPTION_KEY,32-bytes,optional,Data-at-rest encryption,staging/prod
EMAIL_FROM,email,required,Display name + email,local/staging/prod
SMTP_HOST,host,required,,local/staging/prod
SMTP_PORT,number,required,587 or 465,local/staging/prod
SMTP_USER,string,required,,local/staging/prod
SMTP_PASS,string,required,,local/staging/prod
GOOGLE_CLIENT_ID,string,optional,,staging/prod
GOOGLE_CLIENT_SECRET,string,optional,,staging/prod
LINE_CHANNEL_ID,string,optional,,staging/prod
LINE_CHANNEL_SECRET,string,optional,,staging/prod
STRIPE_SECRET_KEY,string,optional,If Stripe enabled,staging/prod
STRIPE_WEBHOOK_SECRET,string,optional,,staging/prod
TAPPAY_PARTNER_KEY,string,optional,If TapPay enabled,staging/prod
TAPPAY_MERCHANT_ID,string,optional,,staging/prod
SENTRY_DSN,url,optional,,staging/prod
LOG_LEVEL,enum,optional,debug|info|warn|error,local/staging/prod
NEXT_PUBLIC_APP_URL,url,required,Public site URL,staging/prod
NEXT_PUBLIC_API_URL,url,required,Public API base URL,staging/prod
TOTP_ISSUER,string,optional,2FA label,staging/prod
